trial_id,number,study_id,state,datetime_start,datetime_complete
1,0,1,COMPLETE,2024-10-30 17:22:28.296239,2024-10-30 17:22:29.918829
2,1,1,COMPLETE,2024-10-30 17:22:29.938527,2024-10-30 17:22:32.309439
3,2,1,COMPLETE,2024-10-30 17:22:32.344232,2024-10-30 17:22:33.791984
4,3,1,COMPLETE,2024-10-30 17:22:33.809150,2024-10-30 17:22:35.048009
5,4,1,COMPLETE,2024-10-30 17:22:35.063818,2024-10-30 17:22:35.828239
6,5,1,COMPLETE,2024-10-30 17:22:35.855591,2024-10-30 17:22:36.650645
7,6,1,COMPLETE,2024-10-30 17:22:36.707760,2024-10-30 17:22:38.715156
8,7,1,COMPLETE,2024-10-30 17:22:38.732404,2024-10-30 17:22:39.973656
9,8,1,COMPLETE,2024-10-30 17:22:39.990197,2024-10-30 17:22:42.805594
10,9,1,COMPLETE,2024-10-30 17:22:42.826923,2024-10-30 17:22:44.258121
11,10,1,COMPLETE,2024-10-30 17:22:44.276457,2024-10-30 17:22:46.575715
12,11,1,COMPLETE,2024-10-30 17:22:46.600992,2024-10-30 17:22:47.394690
13,12,1,COMPLETE,2024-10-30 17:22:47.418619,2024-10-30 17:22:48.712305
14,13,1,COMPLETE,2024-10-30 17:22:48.730023,2024-10-30 17:22:50.964642
15,14,1,COMPLETE,2024-10-30 17:22:51.015033,2024-10-30 17:22:51.976197
16,15,1,COMPLETE,2024-10-30 17:22:51.993994,2024-10-30 17:22:54.786229
17,16,1,COMPLETE,2024-10-30 17:22:54.817826,2024-10-30 17:22:57.568119
18,17,1,COMPLETE,2024-10-30 17:22:57.586179,2024-10-30 17:22:58.526835
19,18,1,COMPLETE,2024-10-30 17:22:58.543583,2024-10-30 17:22:59.857339
20,19,1,COMPLETE,2024-10-30 17:22:59.886306,2024-10-30 17:23:00.898612
21,20,1,COMPLETE,2024-10-30 17:23:00.921673,2024-10-30 17:23:02.830904
22,21,1,COMPLETE,2024-10-30 17:23:02.865972,2024-10-30 17:23:04.067623
23,22,1,COMPLETE,2024-10-30 17:23:04.085152,2024-10-30 17:23:06.889635
24,23,1,COMPLETE,2024-10-30 17:23:06.914276,2024-10-30 17:23:08.918906
25,24,1,COMPLETE,2024-10-30 17:23:08.934982,2024-10-30 17:23:11.737675
26,25,1,COMPLETE,2024-10-30 17:23:11.761758,2024-10-30 17:23:13.020350
27,26,1,COMPLETE,2024-10-30 17:23:13.038096,2024-10-30 17:23:14.570250
28,27,1,COMPLETE,2024-10-30 17:23:14.591758,2024-10-30 17:23:17.329555
29,28,1,COMPLETE,2024-10-30 17:23:17.346606,2024-10-30 17:23:18.361195
30,29,1,COMPLETE,2024-10-30 17:23:18.385655,2024-10-30 17:23:19.625088
31,30,1,COMPLETE,2024-10-30 17:23:19.668649,2024-10-30 17:23:20.713667
32,31,1,COMPLETE,2024-10-30 17:23:20.729579,2024-10-30 17:23:23.360651
